group_id,record_ids
1,74463
2,60733;39470;56487;52361;7605
3,64831;98021
4,12416;96605;85445;85845
5,81570
6,36546
7,74668;41593;33143
8,39317;29191;42638
9,14518;11280
10,28203;5511;47949
11,18726;23207
12,19093
13,69817
14,71409;97759
15,75850;68526;10754
16,9516;91555;35391;49626;79608
17,26266;55595;55118
18,69936;15812
19,31924;46281
20,20644
21,37442;48263
22,41948;46455
23,43797
24,62094;86544;7624
25,32542
26,39008
27,13185
28,66425;29949
29,75888;95568
30,27492;36264;97201;91491;18828;26208
31,29662
32,80175;4205;24747
33,63332
34,10546
35,27866
36,9247;47668;85445;87729;99670;19755
37,30263;21564
38,51190
39,71300;18232;95474
40,38170
41,38008;3928
42,94964;14911;90250;16381;41859
43,25038;68772
44,79510;20694
45,57195;71029;73838
46,89295;76083;63275;89551;12648;41664
47,33735
48,9073;63766;34245;49840;90411
49,59755;17724;55388;15687;86200
50,9158;84358;38965
51,74638;98625
52,13466;37537
53,44764;16445
54,37675
55,5692;26200;84737;62478
56,66721;17968;1198
57,32604;57904;13126
58,2359;31225;7867;32556
59,55548
60,49132;18441;19588
61,28196;61937;76315
62,81809;37863;34984;67933
63,21275
64,95206;39042;88941;65962
65,97032;93924;97548;34953
66,29275;55135
67,13472;86924
68,58353;33153;23470;87198
69,72219;70994;24134
70,21180;11295;58780
71,77679;4805
72,1733;15094;45433
73,90544;35462;46769;92895
74,32807;22185;1559
75,11127
76,58918;7242;17801
77,34266;89808;91717;41888;64607
78,38697
79,65865;68963;49017;88437
80,81047;17837
81,17997;24158
82,37391
83,30201;74880;15611;44197
84,36171;22750
85,79226;70486;5812;15780;60057;87240
86,13180;76659
87,50773;68678;82785
88,38633
89,26663;25113
90,64482;82492;89125;77288
91,82199;57815;59698;25817
92,92976
93,24336;62429;38485;46381;89403
94,88290
95,70255
96,46644;58402
97,69618;2937
98,56185;41200
99,81162
100,18543;86933;27509
101,70858;60915;42690;26935
102,93689;58474;14893
103,85495;92843
104,22892
105,99761;30438;49785
106,10420;6171;15491;92173
107,7133
108,16321
109,65081;94408;86562;73110
110,62171;96139;10127;88757
111,28067
112,693;80674
113,10887;41386
114,28911;94931;93041
115,56262;69171
116,74083
117,20293
118,70498;71653;69463
119,31436;33435;5469;62872
120,51061
121,88350
122,5110;3404;65101;20411
123,19139;9171
124,22741;55896;79016;58222;35382;26038
125,15764;83396;23087
126,28131;48980;94575;95773;92884
127,766;12087
128,30433
129,25347;27915;51657;20649;65794
130,42046
131,98214;53869;41728;60767;48909
132,10495;35032;31827;67570;62328
133,74525
134,13593;17356;8318;1436
135,6413;26289;80769;71147;35647
136,29860;47719;81392;88794;70306
137,44378;29277;32423
138,25127
139,21419
140,35252
141,1216;41845
142,49759
143,36992;81346
144,86220;25258;31382
145,42801
146,36879;59303
147,21350;92785;36850
148,82037;6874;90473
149,52090;16022;83802;60536;28632;51384
150,2074
151,54917;61152
152,83423;5215;51589;34393
153,83801;45149;41908
154,1424;26882;31094
155,67820;37709;57095
156,7600;24240;27842;10315
157,54495
158,47693;48103;61790
159,34803
160,72109;73336;1860
161,96268;37513;99125;39327;32011
162,29534
163,57621;2160;83781;5794
164,29715;91930
165,77101;12937;13245
166,34927;81168
167,18560
168,58093;18623
169,11697;69127;76593;58426;75027
170,59914;30817;17916;24001
171,59631;5819
172,58066
173,95246;43365
174,96239
175,4708;33864;93653;82747
176,93708;12561;38655;15737
177,42566;82627;71521;2753;69050
178,71016;9297;38707
179,24534
180,55782
181,66371;78335;57355
182,45656;97755;29361;95260;69610
183,16838;78988;56880;26939
184,89009
185,18515;93815;92653;89441;21830;67238
186,13821;51423
187,7906;15602;5308;80852
188,19945
189,74888;93041;53233;14146;24441
190,85545
191,2226;9773;44434;85756;8297
192,46222;87354;91239;45245;7733
193,40875;16959;9672;35505;62286
194,31127
195,80576;90815
196,6374
197,64595;3948;91701
198,90259
199,28504
200,48230
201,21312;23803;57742
202,82521;18325;89456
203,29940;23215
204,39789
205,80028;50352;98824
206,59530
207,46782;14442;49092
208,11557
209,18835;58903
210,77803;83432;55571
211,7060;970
212,10805
213,34466
214,44460
215,70720;92200;35050;68438
216,47461;39142;38446;9870;18235
217,92740;96936;99293
218,20020;80724
219,48205;86084
220,79619;80984;82148
221,46039
222,21900;67759;74915;82973
223,80428;54302;82110
224,4983
225,49367
226,74754
227,38697
228,21905
229,51877;35733;11929;98230;60658
230,24489;77987;3171;16980
231,31967;86066;18523
232,1610
233,22517;28675
234,34885;38468
235,138;96398;72864;95295
236,25836;17842
237,90408;5703
238,47025;82550;79116;68901;25188
239,76339;50487
240,34507;81979
241,27318
242,2986;62571;99131
243,918;48563;56238
244,1248
245,66758
246,50971;69375
247,80476;20996;59467;44178;46962;67329
248,59193;71845
249,12664;39443;18490;43232;29674;86432
250,90606;19308
251,62347;44863
252,53418;24787;9347
253,74762;88875;84912;55914
254,45896;75837;41034
255,71574
256,35608;58825
257,36787;89899;4417
258,42595
259,25978
260,15756;25653;37626;38353
261,86315
262,92678;33937;75496;9833
263,17053
264,65435;77735;60486
265,95378;10231;96366;28119
266,84573;69642
267,64204
268,87608;37844;62517
269,69109;56344
270,56365
271,80197;3208;30129;5045
272,57957;55944;91057;29166
273,54500;43403;36729;85065;25794
274,19179
275,34740;69802;29284
276,93674;60069;54832;96167;75736
277,17927;71051;36845;56262;91965
278,25093;70429;40891;86666
279,81199
280,21278;99933
281,5623;67567;9201;74769
282,36102;2644;29684
283,72396;62920
284,21617;39205;31097;89838
285,12334
286,41599;91167;86565
287,45615;60891;59763;86293;86346
288,28662;86441;65283;72263;87614
289,61979
290,54247
291,67942;57566;8519;42820
292,23534;74709
293,62827
