original_id,group_id
id4304415488,1
id2797118000,1
id4218070884,1
id6073495220,1
id8978019205,1
id5592693119,1
id9786589368,2
id2513263085,2
id6832667872,2
id9648235507,2
id1932076902,2
id2750556942,2
id2008604930,3
id9125334295,3
id9787035845,3
id9037018069,3
id1043458220,3
id2251781440,3
id5274695169,4
id8065413782,4
id9695842578,4
id6049934857,4
id8630422755,4
id7814244234,4
id4856545792,5
id8090331658,5
id6997116361,5
id4078885494,5
id0621812290,5
id8529907920,5
id2590303838,6
id8575081840,6
id7307600069,6
id1429213066,6
id2031656809,6
id8427985301,6
id8000303961,7
id4376122804,7
id9946228418,7
id8569432436,7
id5389652578,7
id4924987086,7
id8049424642,8
id2492494671,8
id6539765853,8
id6483361747,8
id1378942048,8
id7032473241,8
id9345550809,9
id4545480059,9
id6898157388,9
id3024405696,9
id0490954344,9
id5165044633,9
id7788776860,10
id1964046732,10
id2469329165,10
id2952409906,10
id7274115200,10
id5176082015,10
id3006752212,11
id9735854223,11
id3189680189,11
id8347379070,11
id3050986965,11
id3191928055,11
id7417793929,12
id0716456747,12
id3693493727,12
id8400731488,12
id9110668406,12
id9931666261,12
id5778447695,13
id4195062585,13
id7561074545,13
id5066795663,13
id3896510543,13
id7264288702,13
id4530504220,14
id6038205318,14
id4991702439,14
id9629566232,14
id5984316203,14
id4037409035,14
id4470094524,15
id5325728101,15
id9759786832,15
id7960848198,15
id5083650165,15
id8212965836,15
id6357977786,16
id9751930211,16
id7186090981,16
id8580559400,16
id0917125834,16
id6590176785,16
id0667027676,17
id3818713527,17
id3589264298,17
id8853704813,17
id0231279063,17
id8707411668,17
id4444353488,18
id6168711630,18
id4122899175,18
id7093259987,18
id3049279520,18
id0213421946,18
id0342479922,19
id5210755601,19
id1700636385,19
id5050531950,19
id3323199214,19
id4831876888,19
id1043845516,20
id8576803828,20
id6377395355,20
id5956253890,20
id9039366915,20
id5880816809,20
id6284922677,21
id4175427515,21
id0286755296,21
id6480263696,21
id4880834511,21
id6166119645,21
id8564313855,22
id6777722826,22
id0422455056,22
id4839658819,22
id2666251023,22
id9336534095,22
id0070519116,23
id6217048618,23
id4685998751,23
id0291918460,23
id1585597188,23
id3131732670,23
id8922996017,24
id5002344235,24
id3905703487,24
id2795062965,24
id6493833663,24
id0212851546,24
id1802329122,25
id4234146631,25
id9438896543,25
id2696284652,25
id0992120185,25
id8478375605,25
id7205088042,26
id4068865574,26
id4659543038,26
id7216099255,26
id6846897009,26
id6382933823,26
id2761748136,27
id4769842410,27
id1709681683,27
id2004370500,27
id3789070263,27
id0917763408,27
id4777096738,28
id0742617263,28
id2824169146,28
id9690229903,28
id1541318235,28
id6240119090,28
id3733533071,29
id0538480700,29
id8444965877,29
id8833346713,29
id0305381295,29
id3415841740,29
id4298017545,30
id7270036091,30
id3963254520,30
id7868107552,30
id4690168991,30
id6137566936,30
id8891565367,31
id6198518409,31
id6977516959,31
id3706397654,31
id5749029867,31
id6975846504,31
id7560754917,32
id5549147333,32
id5898382049,32
id2313723279,32
id6017300930,32
id6315003032,32
id1715088198,33
id7108863822,33
id3232619245,33
id4038076933,33
id0586441338,33
id1563389350,33
id6525659173,34
id1116126906,34
id4694754311,34
id4723936443,34
id4315112077,34
id9096949854,34
id0299372093,35
